None: 
element_num,depth,attributes,parent_num
77,25,"accessibilityText=Размер шрифта; bounds=[56,713][420,737]; enabled=true; enabled=true",76
78,24,"accessibilityText=; bounds=[20,724][42,747]; enabled=true; enabled=true",32
79,25,"accessibilityText=; bounds=[20,724][42,747]; enabled=true; enabled=true",78
80,24,"accessibilityText=Средний; bounds=[56,739][420,758]; enabled=true; enabled=true",32
81,25,"accessibilityText=Средний; bounds=[56,739][420,758]; enabled=true; enabled=true",80
82,24,"accessibilityText=A, Малый; bounds=[20,772][147,835]; enabled=true; enabled=true",32
83,24,"accessibilityText=A, Средний; bounds=[155,772][285,835]; enabled=true; enabled=true",32
84,24,"accessibilityText=A, Большой; bounds=[293,772][420,835]; enabled=true; enabled=true",32
85,24,"bounds=[0,852][440,930]; enabled=true; enabled=true",32
86,24,"accessibilityText=Тактильный отклик; bounds=[56,868][369,892]; enabled=true; enabled=true",32
87,25,"accessibilityText=Тактильный отклик; bounds=[56,868][369,892]; enabled=true; enabled=true",86
88,24,"accessibilityText=; bounds=[20,879][42,902]; enabled=true; enabled=true",32
89,25,"accessibilityText=; bounds=[20,879][42,902]; enabled=true; enabled=true",88
90,24,"bounds=[369,875][420,906]; enabled=true; enabled=true",32
91,24,"accessibilityText=Вибрация на каждом нажатии; bounds=[56,894][369,913]; enabled=true; enabled=true",32
92,25,"accessibilityText=Вибрация на каждом нажатии; bounds=[56,894][369,913]; enabled=true; enabled=true",91
93,24,"accessibilityText=ОБУЧЕНИЕ; bounds=[0,930][440,976]; enabled=true; enabled=true",32
94,25,"accessibilityText=ОБУЧЕНИЕ; bounds=[0,930][440,976]; enabled=true; enabled=true",93
97,22,"accessibilityText=Horizontal scroll bar, 1 page; value=0%; text=0%; bounds=[0,825][440,855]; enabled=true; enabled=true",30
98,23,"bounds=[3,852][434,855]; enabled=true; enabled=true",97
97,22,"accessibilityText=Horizontal scroll bar, 1 page; value=0%; text=0%; bounds=[0,825][440,855]; enabled=true; enabled=true",30
98,23,"bounds=[3,852][434,855]; enabled=true; enabled=true",97
99,17,"bounds=[0,858][440,956]; enabled=true; enabled=true",19
100,18,"bounds=[0,858][440,922]; enabled=true; enabled=true",99
101,19,"bounds=[0,859][440,922]; enabled=true; enabled=true",100
102,20,"bounds=[0,859][440,922]; enabled=true; enabled=true",101
103,19,"accessibilityText=qa-tab-home; resource-id=tab-home; bounds=[13,867][95,922]; enabled=true; enabled=true",100
104,19,"accessibilityText=qa-tab-index; resource-id=tab-index; bounds=[95,867][178,922]; enabled=true; enabled=true",100
105,19,"accessibilityText=qa-tab-arena; resource-id=tab-arena; bounds=[178,867][261,922]; enabled=true; enabled=true",100
106,19,"accessibilityText=qa-tab-friends; resource-id=tab-friends; bounds=[261,867][344,922]; enabled=true; enabled=true",100
107,19,"accessibilityText=qa-tab-settings; resource-id=tab-settings; bounds=[344,867][427,922]; enabled=true; enabled=true",100
108,18,"bounds=[0,858][440,956]; enabled=true; enabled=true",99
109,19,"bounds=[0,858][440,956]; enabled=true; enabled=true",108
110,18,"bounds=[0,922][440,956]; enabled=true; enabled=true",99
111,19,"bounds=[0,922][440,956]; enabled=true; enabled=true",110
112,20,"bounds=[0,922][440,956]; enabled=true; enabled=true",111
113,16,"bounds=[0,9][440,965]; enabled=true; enabled=true",17
114,17,"bounds=[0,9][440,965]; enabled=true; enabled=true",113
115,18,"bounds=[0,9][440,965]; enabled=true; enabled=true",114
120,19,"bounds=[0,9][440,965]; enabled=true; enabled=true",115
117,19,"bounds=[0,9][440,965]; enabled=true; enabled=true",115
118,20,"bounds=[159,-111][564,294]; enabled=true; enabled=true",117
119,20,"bounds=[145,-97][674,335]; enabled=true; enabled=true",117
120,20,"bounds=[0,9][440,965]; enabled=true; enabled=true",117
121,20,"bounds=[44,121][201,278]; enabled=true; enabled=true",117
122,20,"bounds=[-127,291][193,611]; enabled=true; enabled=true",117
123,20,"bounds=[117,614][416,913]; enabled=true; enabled=true",117
127,12,"bounds=[0,0][440,956]; enabled=true; enabled=true",13
128,13,"bounds=[0,0][440,956]; enabled=true; enabled=true",127
126,8,"bounds=[0,0][440,956]; enabled=true; enabled=true",7
127,9,"bounds=[0,0][440,956]; enabled=true; enabled=true",126
128,10,"bounds=[0,0][440,956]; enabled=true; enabled=true",127
129,1,"bounds=[0,0][0,0]",0
130,2,"bounds=[0,0][440,54]; enabled=true; enabled=true",129
131,2,"bounds=[0,0][440,54]; enabled=true; enabled=true",129
132,3,"bounds=[0,0][440,54]; enabled=true; enabled=true",131
133,4,"bounds=[0,0][440,54]; enabled=true; enabled=true",132
134,5,"accessibilityText=23:03; bounds=[58,22][108,43]; enabled=true; enabled=true",133
135,5,"accessibilityText=Mobile Service; value=No signal; text=No signal; bounds=[312,25][334,39]; enabled=true; enabled=true",133
136,5,"value=SSID, 3 of 3 Wi-Fi bars; text=SSID, 3 of 3 Wi-Fi bars; resource-id=3 of 3 Wi-Fi bars; bounds=[341,25][361,39]; enabled=true; enabled=true",133
137,5,"accessibilityText=100% battery power; value=Not charging; text=Not charging; bounds=[368,25][399,39]; enabled=true; enabled=true",133

